scope,status,shopCode,name,category,subcategory,confidence,source,family,detectedFamily,reviewReason,evidence,neighborTarget,neighborShare,neighborExamples
new_or_unconfirmed,MANUAL_REVIEW,А-00004,Вентилятор ALCO,,,0,no_match,no_match,ventilation,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00014,Консоль 2106,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:консоль | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00038,Защита задних фар 2105 (2 шт),kuzov-i-optika,stekla-far-i-fonarey,0.932,family_rule,Стекла фар и фонарей,other,family_rule,family:optics_glass | token:защита | token:фар | phrase:защита задних фар | validation:normalizer:4:useful_tokens,,0.3333,А-00804 Защита задних фонарей 2110 (4 шт)
new_or_unconfirmed,GROUP_REVIEW,А-00041,Импульс 710 октан корректор,elektrika,prochaya-elektrika,0.89,weak_group_candidate,Прочая электрика,other,group_confirmation,family:electrical_misc | token:корректор | phrase:октан корректор | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00094,Сигналы воздушные 4 рожка,aksessuary,prochie-aksessuary,0.939,family_rule,Звуковые сигналы,other,close_candidates_or_weak_gap,family:automotive_horns | token:сигнал | token:сигналы | token:воздуш | token:рожк | phrase:сигналы воздушные | pattern:strong_multi_token | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00101,Полка зад. п 2104-08,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:полка | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00102,Полка зад. п 2109,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:полка | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00131,Стоп сигналы,kuzov-i-optika,fonari,0.872,weak_group_candidate,Стоп-сигналы,other,group_confirmation,family:stop_lights | token:стоп | token:сигнал | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00140,Шумоизоляция черная 3 кв. м,kuzov-i-optika,kuzovnye-detali,0.88,weak_group_candidate,Шумоизоляция,other,group_confirmation,family:sound_insulation | token:шумоизоляция | phrase:шумоизоляция | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00143,"Трос 15 т ленточный с петлями ""Новые технологии""",aksessuary,bezopasnost,0.899,weak_group_candidate,Буксировочные тросы и стропы,other,group_confirmation,family:tow_ropes | token:трос | token:петл | token:ленточн | validation:normalizer:6:useful_tokens,,0,
