Family,Residual,Contextual,No context,Active analogs,Top target,Purity,Confidence gap,Conflict share,No analog share,Safe auto,Safe group,Irreducible,Limit reason
Unique low-frequency items,185,19,166,0,,0,0,0,1,0,0,185,Редкие единичные товары без активных аналогов и без повторяемого паттерна.
Short/code-only names,175,0,175,0,,0,0,0,1,0,0,175,"Название состоит из кода или слишком короткой фразы, классификационных признаков недостаточно."
Engine/transmission parts with partial context,71,27,44,1607,dvigatel-i-transmissiya/kpp,0.3279,0.0877,0.6721,0,0,0,71,"Есть моторный или трансмиссионный намёк, но оставшиеся названия не дают устойчивого назначения без дополнительных правил и ручной проверки активных аналогов."
Body/interior fragments without stable target,62,12,50,326,kuzov-i-optika/kuzovnye-detali,0.3252,0.2025,0.6748,0,0,0,62,"Кузовной/салонный контекст есть, но текущая таксономия и активные аналоги не дают единой подкатегории для всех вариантов."
Generic fasteners without destination,60,23,37,806,aksessuary/shiny-i-diski,0.1303,0.0025,0.8697,0,0,0,60,"Есть только тип крепежа/размер, без узла автомобиля и без единого безопасного target."
Ambiguous fittings and connectors,52,41,11,322,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.3416,0.1615,0.6584,0,0,0,52,Похожие соединители в активном каталоге распределены по нескольким системам; без назначения нельзя выбрать подкатегорию.
DIN/socket-head fasteners without public target,48,0,48,39,aksessuary/instrumenty,0.8718,0.8205,0.1282,0,0,0,48,"Крепёж как самостоятельная категория запрещён, а назначения узла в названии нет."
Small body/interior parts with weak context,37,11,26,761,kuzov-i-optika/kuzovnye-detali,0.2326,0.1551,0.7674,0,0,0,37,"Малые кузовные/салонные элементы имеют похожие названия, но разные targets и часто недостаточный контекст."
Hoses and tubes without system,31,31,0,1247,dvigatel-i-transmissiya/detali-dvigatelya,0.3368,0.1371,0.6632,0,0,0,31,"Шланги/трубки без тормозного, топливного, охлаждающего, ГУР или выхлопного контекста нельзя безопасно развести."
Body locks/handles/glass mechanisms with partial context,29,7,22,1073,kuzov-i-optika/kuzovnye-detali,0.1892,0.014,0.8108,0,0,0,29,"Кузовной механизм есть, но текущие названия не всегда отделяют замки, ручки, стекло, лючки и декоративные элементы."
Personal/non-catalog accessories,26,0,26,14,aksessuary/instrumenty,0.2857,0.1429,0.7143,0,0,0,26,Позиции не имеют точного публичного target в текущей автомобильной таксономии.
Driver electronics and diagnostics without stable target,25,0,25,53,aksessuary/instrumenty,0.4151,0.1698,0.5849,0,0,0,25,"Электроника и диагностические приборы в остатке пересекаются между приборами водителя, инструментами и прочей электрикой."
Repair kits without destination system,23,6,17,458,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.1157,0.0087,0.8843,0,0,0,23,Ремкомплект/ремонтный набор без узла ремонта не указывает безопасную публичную подкатегорию.
Engine small parts with partial context,22,10,12,620,dvigatel-i-transmissiya/detali-dvigatelya,0.2823,0.1919,0.7177,0,0,0,22,"Часть моторного контекста есть, но оставшиеся позиции требуют дополнительного правила или проверки шума активного каталога."
Wheel/tire accessories with partial context,22,15,7,408,aksessuary/shiny-i-diski,0.348,0.2402,0.652,0,0,0,22,"Колёсный контекст есть, но остаток смешивает декоративные колпачки, проставки, упаковку/чехлы и крепёж дисков."
Chassis mounts/supports with partial context,20,0,20,403,podveska/stoyki,0.4069,0.2854,0.5931,0,0,0,20,"Контекст стойки/балки/подушки есть, но остаток смешивает подвеску, кузов, двигатель и универсальные упоры."
