family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Unique low-frequency items,185,0.1596,unique_singleton_or_no_active_analogs,19,166,дв-:28 | ин-:14 | ваз:8 | нива:7 | к-т:6 | веста:5 | дв.:5 | привод:5 | реверс:5 | зчм-:4,0,,0,0,185,"А-01896 Проставки 6х9 с накладкой | А-02230 Груша для откачки воздуха | А-02368 Накидки Фронт ""ICEBERG FRONT""черный/черный/красный 26190 | Б-00004 Буфер перед. н/о 3 2803010-53205 | Г-00109 Коллектор 511-1008015-10 | Г-00366 Заменитель прием. тр. Лада Веста ""ПАУК"" 16-кл 1.8 | Г-00409 Щиток наливной трубы 2108 | ДВ-00186 Диффузор салона 2105"
Short/code-only names,175,0.151,technical_insufficient_data,0,175,зчм-:37 | ок-:29 | ин-:6 | кг-:6 | ркп-:6 | дв-:5 | ак-:4 | пс-:4 | хс-:4 | барашек:2,0,,0,0,175,"А-00703 Такси | А-00775 А-00775 | А-01370 А-01370 | А-01393 А-01393 | А-01399 А-01399 | А-01429 А-01429 | А-01556 А-01556 | А-01665 Трос 42 т, 5 м"
Engine/transmission parts with partial context,71,0.0613,potentially_automatable_future_context_rules,27,44,зчм-:26 | дв-:23 | коробки:16 | москвич:12 | ваз:10 | вала:6 | ин-:6 | вал:4 | вкладыши:4 | гидрокомпенсаторы:4,1607,dvigatel-i-transmissiya/kpp:527 | dvigatel-i-transmissiya/detali-dvigatelya:386 | dvigatel-i-transmissiya/detali-transmissii:123 | podveska/podshipniki:88 | dvigatel-i-transmissiya/prokladki:56 | dvigatel-i-transmissiya/sceplenie:52 | podveska/rulevye-nakonechniki:33 | kuzov-i-optika/kuzovnye-detali:24,0,0,71,ЗЧМ-00186 Крышка поддона Москвич | ЗЧМ-00212 Поддон картера 2140 | ЗЧМ-00263 Набор иголок коробки Москвич | ЗЧМ-00276 Синхронизатор в сборе 2141 | ЗЧМ-00455 Тяги коробки Москвич (2 шт) | ЗЧМ-00457 Набор стопоров коробки 2141 | ЗЧМ-00607 Синхронизатор 2141 (1Х2/3Х4) | ЗЧМ-00612 Синхронизатор в сборе 2141 5-ой передачи
Body/interior fragments without stable target,62,0.0535,active_analogs_conflict_or_no_destination,12,50,кр-:18 | сиденья:10 | бардачка:7 | бокс:7 | ваз:5 | тоннель:5 | вещевого:4 | заглушка:4 | зчм-:4 | люкс:4,326,kuzov-i-optika/kuzovnye-detali:106 | elektrika/prochaya-elektrika:40 | dvigatel-i-transmissiya/toplivnaya-sistema:28 | dvigatel-i-transmissiya/sceplenie:18 | aksessuary/prochie-aksessuary:17 | aksessuary/instrumenty:12 | filtry-i-masla/masla:12 | podveska/pruzhiny:11,0,0,62,"А-00369 Люк | А-00726 Бокс 2101-07 Люкс | А-00896 Опора полки 2108 (2 шт) | А-01211 Накладка на воздухозаборник 2110 (краш.) | А-01490 Подогрев-сидушка ""HR"" | А-01746 Тоннель 2110 | А-02175 Накладки сидений PSV KROCUS (все сидения) | ДВ-00380 Торпеда 2105"
Generic fasteners without destination,60,0.0518,name_lacks_destination_context,23,37,саморезы:16 | саморез:14 | приемной:11 | трубы:11 | хомут:11 | кг-:9 | кр-:8 | свд:8 | соединитель:8 | труб:8,806,aksessuary/shiny-i-diski:105 | dvigatel-i-transmissiya/detali-dvigatelya:103 | dvigatel-i-transmissiya/detali-transmissii:65 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:43 | dvigatel-i-transmissiya/vyhlopnaya-sistema:38 | podveska/ressory:34 | podveska/rulevye-nakonechniki:34,0,0,60,КГ-00601 Шпилька приемной трубы ЗИЛ-130 | ЗЧМ-00376 Хомуты приемной трубы 2141 | ЗЧМ-00507 Хомут приёмной трубы (Святогор) | К-00015 Гайка М 8 д. приёмной трубы ВАЗ 01-08 | К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263
Ambiguous fittings and connectors,52,0.0449,active_analogs_conflict_or_no_destination,41,11,кг-:44 | соединитель:37 | шлангов:37 | метал.:17 | прямой:13 | штуцер:11 | прокачки:8 | переходной:7 | ин-:6 | г-образный:4,322,tormoznaya-sistema/prochaya-tormoznaya-sistema:110 | aksessuary/instrumenty:58 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:20 | filtry-i-masla/maslyanye-filtry:19 | aksessuary/prochie-aksessuary:13 | dvigatel-i-transmissiya/ohlazhdenie:12 | dvigatel-i-transmissiya/detali-dvigatelya:10,0,0,52,"КГ-01086 Соединитель шлангов Г-образный метал. д.1 | ИН-00171 Штуцер прокачки М6*1*29 (AUDI,BMW,SAABVW) | ИН-00172 Штуцер прокачки М6*1*38 (AUDI,SUBARU,VW) | ИН-00173 Штуцер прокачки М8*1*32 (FORD,MAZDA) | ИН-00174 Штуцер прокачки М8*1*33 (MAZDA,OPEL) | ИН-00175 Штуцер прокачки М8*1*38 (MAZDA) | ИН-01561 87703 Штуцер прокачки М7х1 | К-00035 Штуцер прокачки ВАЗ 01-08"
DIN/socket-head fasteners without public target,48,0.0414,no_allowed_target_current_taxonomy,0,48,кг-:46 | внутренним:39 | шестигранником:39 | din:39 | m12*:12 | m10*:10 | гровер:9 | m8*:9 | m6*:7 | m6*9.:1,39,aksessuary/instrumenty:34 | dvigatel-i-transmissiya/toplivnaya-sistema:2 | dvigatel-i-transmissiya/detali-dvigatelya:1 | dvigatel-i-transmissiya/kpp:1 | elektrika/datchiki:1,0,0,48,"К-00284 Гровер М-8 | КГ-00431 DIN912 M10*11 с внутренним шестигранником | К-00565 Гровер 5 | КГ-00272 Гровер М 14 | КГ-00297 Гровер д. 20,22,24,27 | КГ-00422 DIN912 M10*25 с внутренним шестигранником | КГ-00423 DIN912 M10*35 с внутренним шестигранником | КГ-00424 DIN912 M10*45 с внутренним шестигранником"
Small body/interior parts with weak context,37,0.0319,active_analogs_conflict_or_no_destination,11,26,кг-:14 | кронштейн:13 | приемной:10 | скоба:10 | трубы:10 | кр-:9 | такелажная:7 | газа:6 | дв.:6 | пистоны:6,761,kuzov-i-optika/kuzovnye-detali:177 | dvigatel-i-transmissiya/detali-dvigatelya:59 | kuzov-i-optika/bampery:51 | elektrika/generatory:44 | podveska/ressory:31 | aksessuary/instrumenty:28 | dvigatel-i-transmissiya/sceplenie:28 | podveska/prochaya-podveska:25,0,0,37,К-00611 Набор пистонов ВАЗ-Калина 1118 | КГ-00739 Скоба троса газа 402 дв. | ИН-00935 Планка распорная Логан 7701208112 | К-00189 Пистоны | К-00222 Пистоны | К-00324 Скоба троса газа и подсоса 2108 | К-00351 Скоба троса газа 2123 (стопорная) | К-00355 Пистоны потолка 2110
Hoses and tubes without system,31,0.0267,name_lacks_destination_context,31,0,дв-:15 | трубка:10 | трубки:9 | к-т:6 | кондиционера:6 | патрубок:6 | завод:3 | инжектор:3 | нива:3 | обр.:3,1247,dvigatel-i-transmissiya/detali-dvigatelya:420 | dvigatel-i-transmissiya/ohlazhdenie:249 | tormoznaya-sistema/prochaya-tormoznaya-sistema:202 | aksessuary/instrumenty:115 | kuzov-i-optika/kuzovnye-detali:63 | dvigatel-i-transmissiya/sceplenie:40 | podveska/ressory:37 | dvigatel-i-transmissiya/nasosy:30,0,0,31,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | ЗЧМ-00235 Трубки магистр. 2141 | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый | Г-00347 Патрубок (инжектор крив.) 5320 КАМАЗ
Body locks/handles/glass mechanisms with partial context,29,0.025,active_analogs_conflict_or_no_destination,7,22,кр-:12 | ручки:8 | стекло:5 | б/бака:3 | ваз:3 | замок:3 | лючок:3 | евро:2 | зчм-:2 | механизм:2,1073,kuzov-i-optika/kuzovnye-detali:203 | elektrika/prochaya-elektrika:188 | kuzov-i-optika/zamki-i-ruchki:162 | kuzov-i-optika/stekla:74 | aksessuary/prochie-aksessuary:61 | aksessuary/instrumenty:54 | kuzov-i-optika/fary:34 | dvigatel-i-transmissiya/kpp:33,0,0,29,"А-02202 Ручки 2106 перед. н/о, 2 шт | ИН-00421 Стекло | О-00696 ВАЗ 2111 стекло з.д.о прав. | РДГ-00065 Тройник ручки УАЗ | РДГ-00112 Запорный механизм ГАЗ-3302 бесшум.,1 шт. | А-00422 Ручки 2110 (Дмитровград) 4 шт | А-00656 Ручки 2109 хром. (набор) | А-01041 Ручки 2105, 07 (тюнинг)"
