sampleType,shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,evidence,neighborTarget,needsHumanCheck,correct,correctCategory,reviewerComment
auto_ready_random,О-00056,Повторитель УАЗ,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,К-00301,Шайба д.6х30,ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|washers|шайба|ves-assortiment|other-products,washers,family:other_products_fasteners | token:шайба | phrase:шайба | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,А-01993,"ALCA (001 410) Щетка с/о задняя 35 см/14""",aksessuary,prochie-aksessuary,0.952,AUTO_READY,wiper|other|щетка-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетка | token:щётка | token:стеклоочист | phrase:щетка стеклоочистителя | validation:normalizer:6:useful_tokens,aksessuary/prochie-aksessuary,yes,,,
auto_ready_random,КГ-00894,"Болт крепления генер., поддона Г-3302 (д",ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|bolts|болт|ves-assortiment|other-products,bolts,family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:6:useful_tokens,,yes,,,
auto_ready_random,КГ-00886,Болт М8х110,ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|bolts|болт|ves-assortiment|other-products,bolts,family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,КГ-00878,Фитинг латунь ЕВРО угловой 16х8,ves-assortiment,other-products,0.966,AUTO_READY,other_products_fittings|fittings|фитинг|ves-assortiment|other-products,fittings,family:other_products_fittings | token:фитинг | phrase:фитинг | validation:optional:угловой | validation:optional:латун | validation:normalizer:6:useful_tokens,tormoznaya-sistema/prochaya-tormoznaya-sistema,yes,,,
auto_ready_random,КГ-00830,Винт М16*40 с внутр. шестигранником,ves-assortiment,other-products,0.968,AUTO_READY,other_products_fasteners|socket_head_fasteners|винт|ves-assortiment|other-products,socket_head_fasteners,family:other_products_fasteners | token:винт | phrase:винт | validation:optional:шестигран | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,КГ-00826,Винт М16*110 с внутр. шестигранником,ves-assortiment,other-products,0.968,AUTO_READY,other_products_fasteners|socket_head_fasteners|винт|ves-assortiment|other-products,socket_head_fasteners,family:other_products_fasteners | token:винт | phrase:винт | validation:optional:шестигран | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,О-00065,Поворотник Волга,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,К-00300,Шайба М-12,ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|washers|шайба|ves-assortiment|other-products,washers,family:other_products_fasteners | token:шайба | phrase:шайба | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,К-00376,Шайба к/клапанной 2101-07 (1 шт),ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|washers|шайба|ves-assortiment|other-products,washers,family:other_products_fasteners | token:шайба | phrase:шайба | validation:normalizer:4:useful_tokens,,yes,,,
auto_ready_random,К-00364,Скоба эмблемы,ves-assortiment,other-products,0.94,AUTO_READY,other_products_clamps_brackets|other|скоба|ves-assortiment|other-products,other,family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,К-00264,Шпилька трамблера 2108,ves-assortiment,other-products,0.96,AUTO_READY,other_products_fasteners|studs|шпилька|ves-assortiment|other-products,studs,family:other_products_fasteners | token:шпилька | phrase:шпилька | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,К-00272,Тройник трубок опрыскивателя ВАЗ,ves-assortiment,other-products,0.95,AUTO_READY,other_products_fittings|fittings|тройник|ves-assortiment|other-products,fittings,family:other_products_fittings | token:тройник | phrase:тройник | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,КГ-00881,Фитинг латунь ЕВРО угловой 22х8,ves-assortiment,other-products,0.966,AUTO_READY,other_products_fittings|fittings|фитинг|ves-assortiment|other-products,fittings,family:other_products_fittings | token:фитинг | phrase:фитинг | validation:optional:угловой | validation:optional:латун | validation:normalizer:6:useful_tokens,tormoznaya-sistema/prochaya-tormoznaya-sistema,yes,,,
auto_ready_random,КГ-00831,Винт М16*45 с внутр. шестигранником,ves-assortiment,other-products,0.968,AUTO_READY,other_products_fasteners|socket_head_fasteners|винт|ves-assortiment|other-products,socket_head_fasteners,family:other_products_fasteners | token:винт | phrase:винт | validation:optional:шестигран | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,КГ-00825,Винт М16*100 с внутр. шестигранником,ves-assortiment,other-products,0.968,AUTO_READY,other_products_fasteners|socket_head_fasteners|винт|ves-assortiment|other-products,socket_head_fasteners,family:other_products_fasteners | token:винт | phrase:винт | validation:optional:шестигран | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,О-00082,Поворотник 2108,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:2:useful_tokens,,yes,,,
