sampleType,shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,evidence,neighborTarget,needsHumanCheck,correct,correctCategory,reviewerComment
auto_ready_random,О-00056,Повторитель УАЗ,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,А-01993,"ALCA (001 410) Щетка с/о задняя 35 см/14""",aksessuary,prochie-aksessuary,0.952,AUTO_READY,wiper|other|щетка-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетка | token:щётка | token:стеклоочист | phrase:щетка стеклоочистителя | validation:normalizer:6:useful_tokens,aksessuary/prochie-aksessuary,yes,,,
auto_ready_random,О-00065,Поворотник Волга,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,О-00082,Поворотник 2108,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,О-00062,Поворотник 2141,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-02068,"Эмблема LADA, VESTA, PRIORA (тюнинг)",kuzov-i-optika,emblemy,0.92,AUTO_READY,legacy_kuzov-i-optika_emblemy|other|эмблема|kuzov-i-optika|emblemy,other,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:6:useful_tokens,,yes,,,
auto_ready_random,А-00414,AVS EXTRA LINE Щётки стеклоочистителя (к-т),aksessuary,prochie-aksessuary,0.952,AUTO_READY,wiper|other|щетки-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетки | token:щётки | token:стеклоочист | phrase:щетки стеклоочистителя | validation:normalizer:7:useful_tokens,,yes,,,
auto_ready_random,ИН-01387,30494 Бачок расширительной системы охл,dvigatel-i-transmissiya,ohlazhdenie,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|dvigatel-i-transmissiya|ohlazhdenie,other,neighbor:active-neighbor:100% | token:бачок | token:ин-,dvigatel-i-transmissiya/ohlazhdenie,yes,,,
auto_ready_random,О-00092,Стекло поворотника 2108,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,ЖЛ-00395,ЖЛ-00395,kuzov-i-optika,kuzovnye-detali,0.98,AUTO_READY,legacy_kuzov-i-optika_kuzovnye-detali|other|жл|kuzov-i-optika|kuzovnye-detali,other,family:legacy_kuzov-i-optika_kuzovnye-detali | pattern:жл- | pattern:жл- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,О-00090,Повторитель 2101,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ЖЛ-00357,ЖЛ-00357,kuzov-i-optika,kuzovnye-detali,0.98,AUTO_READY,legacy_kuzov-i-optika_kuzovnye-detali|other|жл|kuzov-i-optika|kuzovnye-detali,other,family:legacy_kuzov-i-optika_kuzovnye-detali | pattern:жл- | pattern:жл- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ЖЛ-00396,ЖЛ-00396,kuzov-i-optika,kuzovnye-detali,0.98,AUTO_READY,legacy_kuzov-i-optika_kuzovnye-detali|other|жл|kuzov-i-optika|kuzovnye-detali,other,family:legacy_kuzov-i-optika_kuzovnye-detali | pattern:жл- | pattern:жл- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-02078,Щетка с/о бескаркасная AWM,aksessuary,prochie-aksessuary,0.98,AUTO_READY,wiper|other|щетка-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетка | token:щётка | token:стеклоочист | token:бескаркасн | phrase:щетка стеклоочистителя | pattern:strong_multi_token | validation:normalizer:5:useful_tokens,aksessuary/prochie-aksessuary,yes,,,
auto_ready_random,КР-00115,Комплект ручек салона,kuzov-i-optika,kuzovnye-detali,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|kuzov-i-optika|kuzovnye-detali,other,neighbor:active-neighbor:100% | token:кр- | token:ручек,kuzov-i-optika/kuzovnye-detali,yes,,,
auto_ready_random,И-01587,И-01587,aksessuary,instrumenty,0.98,AUTO_READY,legacy_aksessuary_instrumenty|other|и|aksessuary|instrumenty,other,family:legacy_aksessuary_instrumenty | pattern:и- | pattern:и- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ЗЧМ-00445,Сухарик клапанов Москвич,dvigatel-i-transmissiya,detali-dvigatelya,0.924,AUTO_READY,engine_rotating_parts|other|сухарик-клапанов|dvigatel-i-transmissiya|detali-dvigatelya,other,family:engine_rotating_parts | token:сухарик | token:клапан | token:москвич | phrase:сухарик клапанов | validation:normalizer:4:useful_tokens,,yes,,,
auto_ready_random,ЖЛ-00333,ЖЛ-00333,kuzov-i-optika,kuzovnye-detali,0.98,AUTO_READY,legacy_kuzov-i-optika_kuzovnye-detali|other|жл|kuzov-i-optika|kuzovnye-detali,other,family:legacy_kuzov-i-optika_kuzovnye-detali | pattern:жл- | pattern:жл- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-01435,Эквалайзер на заднее стекло (к-т),kuzov-i-optika,stekla,0.94,AUTO_READY,active_neighbor|other|active-neighbor-91|kuzov-i-optika|stekla,other,neighbor:active-neighbor:91% | token:заднее | token:стекло,kuzov-i-optika/stekla,yes,,,
auto_ready_random,КГ-00808,Хомут патрубка выпускн. (бол) 1203060-532,dvigatel-i-transmissiya,homuty-ohlazhdeniya,0.937,AUTO_READY,cooling_clamps|clamps|хомут-патрубка|dvigatel-i-transmissiya|homuty-ohlazhdeniya,clamps,family:cooling_clamps | token:хомут | token:патруб | phrase:хомут патрубка | pattern:strong_multi_token | validation:normalizer:6:useful_tokens,dvigatel-i-transmissiya/vyhlopnaya-sistema,yes,,,
auto_ready_random,ГСМ-01375,ГСМ-01375,filtry-i-masla,zhidkosti,0.98,AUTO_READY,legacy_filtry-i-masla_zhidkosti|other|гсм|filtry-i-masla|zhidkosti,other,family:legacy_filtry-i-masla_zhidkosti | pattern:гсм- | pattern:гсм- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ИН-00759,Ролик ремня приводного Форд BSG 30-615-03,dvigatel-i-transmissiya,remni,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|dvigatel-i-transmissiya|remni,other,neighbor:active-neighbor:100% | token:ин- | token:ремня | token:ролик,dvigatel-i-transmissiya/remni,yes,,,
auto_ready_random,Г-00516,Патрубок выпускной КАМАЗ-ЕВРО №54115,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.924,AUTO_READY,exhaust_hardware|hoses|патрубок-выпускной|dvigatel-i-transmissiya|vyhlopnaya-sistema,hoses,family:exhaust_hardware | token:патрубок | token:выпуск | token:выпускной | phrase:патрубок выпускной | validation:normalizer:4:useful_tokens,,yes,,,
auto_ready_random,Д-00053,Д-00053,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00905,Звуковой повторитель (универсальный),kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,Д-00080,Д-00080,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,К-00915,Штуцер прокачки М 7*1*20 LARGUS,tormoznaya-sistema,tormoznye-shtucery,0.937,AUTO_READY,brake_bleeders|fittings|штуцер-прокачки|tormoznaya-sistema|tormoznye-shtucery,fittings,family:brake_bleeders | token:штуцер | token:прокач | phrase:штуцер прокачки | pattern:strong_multi_token | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,Д-00020,Д-00020,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,Д-00036,Д-00036,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,СЦ-00053,СЦ-00053,dvigatel-i-transmissiya,sceplenie,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_sceplenie|other|сц|dvigatel-i-transmissiya|sceplenie,other,family:legacy_dvigatel-i-transmissiya_sceplenie | pattern:сц- | pattern:сц- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ДВГ-01147,ДВГ-01147,dvigatel-i-transmissiya,detali-dvigatelya,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_detali-dvigatelya|other|двг|dvigatel-i-transmissiya|detali-dvigatelya,other,family:legacy_dvigatel-i-transmissiya_detali-dvigatelya | pattern:двг- | pattern:двг- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,КР-00119,Трос управления отопления,kuzov-i-optika,kuzovnye-detali,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|kuzov-i-optika|kuzovnye-detali,other,neighbor:active-neighbor:100% | token:кр- | token:трос | token:отопления | token:управления,kuzov-i-optika/kuzovnye-detali,yes,,,
auto_ready_random,Д-00033,Д-00033,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00745,FELIX Щётка для снега телескопическая поворотная со скребком 100-138см,aksessuary,prochie-aksessuary,0.961,AUTO_READY,cleaning_brushes|other|щетка-для-снега|aksessuary|prochie-aksessuary,other,family:cleaning_brushes | token:щетка | token:щётка | token:снег | token:телескоп | token:скреб | phrase:щетка для снега | phrase:щётка для снега | validation:normalizer:8:useful_tokens,,yes,,,
auto_ready_random,СЦ-00056,СЦ-00056,dvigatel-i-transmissiya,sceplenie,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_sceplenie|other|сц|dvigatel-i-transmissiya|sceplenie,other,family:legacy_dvigatel-i-transmissiya_sceplenie | pattern:сц- | pattern:сц- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00929,"""Bremax"" WB-6040 PBN Щетки с/о 60+40 VW Po",aksessuary,prochie-aksessuary,0.952,AUTO_READY,wiper|other|щетки-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетки | token:щётки | token:стеклоочист | phrase:щетки стеклоочистителя | validation:normalizer:8:useful_tokens,,yes,,,
auto_ready_random,Ш-00436,Ш-00436,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|ш|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:ш- | pattern:ш- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,Д-00031,Д-00031,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00747,Полировочная машина (220 V),aksessuary,instrumenty,0.92,AUTO_READY,tools|other|полировочная-машина|aksessuary|instrumenty,other,family:tools | token:полировочная | phrase:полировочная машина | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,ИН-01500,Ремкомплект стояночного тормоза MITSUBISHI 105-0788,tormoznaya-sistema,ruchnoy-tormoz,0.934,AUTO_READY,parking_brake_cables|other|ремкомплект-стояночного-тормоза|tormoznaya-sistema|ruchnoy-tormoz,other,family:parking_brake_cables | token:ремкомплект | token:стояноч | token:тормоз | phrase:ремкомплект стояночного тормоза | validation:normalizer:6:useful_tokens,,yes,,,
auto_ready_random,ДВ-00132,Расширительный бачок 2101-07,dvigatel-i-transmissiya,ohlazhdenie,0.94,AUTO_READY,active_neighbor|other|active-neighbor-94|dvigatel-i-transmissiya|ohlazhdenie,other,neighbor:active-neighbor:94% | token:бачок | token:расширительный | token:дв-,dvigatel-i-transmissiya/ohlazhdenie,yes,,,
auto_ready_random,КГ-00941,Гайа колеса 12х1.5 с внутр. шестиграннико,aksessuary,shiny-i-diski,0.94,AUTO_READY,active_neighbor|socket_head_fasteners|active-neighbor-100|aksessuary|shiny-i-diski,socket_head_fasteners,neighbor:active-neighbor:100% | token:кг- | token:колеса | token:внутр. | token:х1.,aksessuary/shiny-i-diski,yes,,,
auto_ready_random,КП-00207,КП-00207,dvigatel-i-transmissiya,kpp,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_kpp|other|кп|dvigatel-i-transmissiya|kpp,other,family:legacy_dvigatel-i-transmissiya_kpp | pattern:кп- | pattern:кп- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,И-01365,И-01365,aksessuary,instrumenty,0.98,AUTO_READY,legacy_aksessuary_instrumenty|other|и|aksessuary|instrumenty,other,family:legacy_aksessuary_instrumenty | pattern:и- | pattern:и- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ДВ-00131,Расширительный бачок 2108,dvigatel-i-transmissiya,ohlazhdenie,0.94,AUTO_READY,active_neighbor|other|active-neighbor-94|dvigatel-i-transmissiya|ohlazhdenie,other,neighbor:active-neighbor:94% | token:бачок | token:расширительный | token:дв-,dvigatel-i-transmissiya/ohlazhdenie,yes,,,
auto_ready_random,ДВГ-02247,ДВГ-02247,dvigatel-i-transmissiya,detali-dvigatelya,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_detali-dvigatelya|other|двг|dvigatel-i-transmissiya|detali-dvigatelya,other,family:legacy_dvigatel-i-transmissiya_detali-dvigatelya | pattern:двг- | pattern:двг- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,КП-00206,КП-00206,dvigatel-i-transmissiya,kpp,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_kpp|other|кп|dvigatel-i-transmissiya|kpp,other,family:legacy_dvigatel-i-transmissiya_kpp | pattern:кп- | pattern:кп- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,Д-00039,Д-00039,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|д|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:д- | pattern:д- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,КП-00205,КП-00205,dvigatel-i-transmissiya,kpp,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_kpp|other|кп|dvigatel-i-transmissiya|kpp,other,family:legacy_dvigatel-i-transmissiya_kpp | pattern:кп- | pattern:кп- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00884,"Колпаки хром д. 15 ""спицы""",aksessuary,shiny-i-diski,0.951,AUTO_READY,wheel_caps|other|колпаки|aksessuary|shiny-i-diski,other,family:wheel_caps | token:колпаки | token:колпак | token:хром | token:д. | token:15 | phrase:колпаки | phrase:колпаки хром | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,А-01515,Щетка для снега телескопическая (большая),aksessuary,prochie-aksessuary,0.949,AUTO_READY,cleaning_brushes|other|щетка-для-снега|aksessuary|prochie-aksessuary,other,family:cleaning_brushes | token:щетка | token:щётка | token:снег | token:телескоп | phrase:щетка для снега | phrase:щётка для снега | validation:normalizer:5:useful_tokens,,yes,,,
auto_ready_random,Ш-00403,Ш-00403,aksessuary,shiny-i-diski,0.98,AUTO_READY,legacy_aksessuary_shiny-i-diski|other|ш|aksessuary|shiny-i-diski,other,family:legacy_aksessuary_shiny-i-diski | pattern:ш- | pattern:ш- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,ДВ-00121,Поддон 2101-07,dvigatel-i-transmissiya,detali-dvigatelya,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|dvigatel-i-transmissiya|detali-dvigatelya,other,neighbor:active-neighbor:100% | token:дв- | token:поддон,dvigatel-i-transmissiya/detali-dvigatelya,yes,,,
auto_ready_random,ДВГ-01712,ДВГ-01712,dvigatel-i-transmissiya,detali-dvigatelya,0.98,AUTO_READY,legacy_dvigatel-i-transmissiya_detali-dvigatelya|other|двг|dvigatel-i-transmissiya|detali-dvigatelya,other,family:legacy_dvigatel-i-transmissiya_detali-dvigatelya | pattern:двг- | pattern:двг- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-00147,Эмблема ЛАДА 1600,kuzov-i-optika,emblemy,0.92,AUTO_READY,legacy_kuzov-i-optika_emblemy|other|эмблема|kuzov-i-optika|emblemy,other,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:3:useful_tokens,,yes,,,
