Family,Residual,Contextual,No context,Active analogs,Top target,Purity,Confidence gap,Conflict share,No analog share,Safe auto,Safe group,Irreducible,Limit reason
Generic fasteners without destination,428,5,423,806,aksessuary/shiny-i-diski,0.1303,0.0025,0.8697,0,0,0,428,"Есть только тип крепежа/размер, без узла автомобиля и без единого безопасного target."
Unique low-frequency items,187,19,168,0,,0,0,0,1,0,0,187,Редкие единичные товары без активных аналогов и без повторяемого паттерна.
Short/code-only names,175,0,175,0,,0,0,0,1,0,0,175,"Название состоит из кода или слишком короткой фразы, классификационных признаков недостаточно."
Ambiguous fittings and connectors,155,18,137,322,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.3416,0.1615,0.6584,0,0,0,155,Похожие соединители в активном каталоге распределены по нескольким системам; без назначения нельзя выбрать подкатегорию.
Engine/transmission parts with partial context,109,34,75,1607,dvigatel-i-transmissiya/kpp,0.3279,0.0877,0.6721,0,0,0,109,"Есть моторный или трансмиссионный намёк, но оставшиеся названия не дают устойчивого назначения без дополнительных правил и ручной проверки активных аналогов."
DIN/socket-head fasteners without public target,86,0,86,39,aksessuary/instrumenty,0.8718,0.8205,0.1282,0,0,0,86,"Крепёж как самостоятельная категория запрещён, а назначения узла в названии нет."
Body/interior fragments without stable target,64,12,52,326,kuzov-i-optika/kuzovnye-detali,0.3252,0.2025,0.6748,0,0,0,64,"Кузовной/салонный контекст есть, но текущая таксономия и активные аналоги не дают единой подкатегории для всех вариантов."
Mounting/installation kits without destination target,45,4,41,347,dvigatel-i-transmissiya/detali-dvigatelya,0.1037,0.0029,0.8963,0,0,0,45,"Монтажный набор или фиксатор есть, но без устойчивого узла автомобиля нельзя выбрать категорию."
Small body/interior parts with weak context,36,1,35,761,kuzov-i-optika/kuzovnye-detali,0.2326,0.1551,0.7674,0,0,0,36,"Малые кузовные/салонные элементы имеют похожие названия, но разные targets и часто недостаточный контекст."
Body locks/handles/glass mechanisms with partial context,34,8,26,1073,kuzov-i-optika/kuzovnye-detali,0.1892,0.014,0.8108,0,0,0,34,"Кузовной механизм есть, но текущие названия не всегда отделяют замки, ручки, стекло, лючки и декоративные элементы."
Hoses and tubes without system,31,31,0,1247,dvigatel-i-transmissiya/detali-dvigatelya,0.3368,0.1371,0.6632,0,0,0,31,"Шланги/трубки без тормозного, топливного, охлаждающего, ГУР или выхлопного контекста нельзя безопасно развести."
Rings and seals without destination,29,0,29,508,dvigatel-i-transmissiya/detali-dvigatelya,0.5827,0.4862,0.4173,0,0,0,29,"Кольца и уплотнения встречаются в двигателе, КПП, ступицах, тормозах и выхлопе."
Suspension/steering parts with partial context,28,1,27,998,podveska/rulevye-nakonechniki,0.4269,0.2766,0.5731,0,0,0,28,"Подвеска/рулевое направление видно, но конкретная подкатегория часто конфликтует между стойками, наконечниками, рычагами и прочими деталями."
Chassis mounts/supports with partial context,27,0,27,403,podveska/stoyki,0.4069,0.2854,0.5931,0,0,0,27,"Контекст стойки/балки/подушки есть, но остаток смешивает подвеску, кузов, двигатель и универсальные упоры."
Personal/non-catalog accessories,26,0,26,14,aksessuary/instrumenty,0.2857,0.1429,0.7143,0,0,0,26,Позиции не имеют точного публичного target в текущей автомобильной таксономии.
Driver electronics and diagnostics without stable target,25,0,25,53,aksessuary/instrumenty,0.4151,0.1698,0.5849,0,0,0,25,"Электроника и диагностические приборы в остатке пересекаются между приборами водителя, инструментами и прочей электрикой."
Repair kits without destination system,25,6,19,458,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.1157,0.0087,0.8843,0,0,0,25,Ремкомплект/ремонтный набор без узла ремонта не указывает безопасную публичную подкатегорию.
Engine small parts with partial context,24,10,14,620,dvigatel-i-transmissiya/detali-dvigatelya,0.2823,0.1919,0.7177,0,0,0,24,"Часть моторного контекста есть, но оставшиеся позиции требуют дополнительного правила или проверки шума активного каталога."
Wheel/tire accessories with partial context,24,15,9,408,aksessuary/shiny-i-diski,0.348,0.2402,0.652,0,0,0,24,"Колёсный контекст есть, но остаток смешивает декоративные колпачки, проставки, упаковку/чехлы и крепёж дисков."
Starter/ignition electrical parts with partial context,21,0,21,200,elektrika/prochaya-elektrika,0.78,0.71,0.22,0,0,0,21,"Электрический узел виден, но в остатке смешаны стартер, зажигание, приборка и мелкие компоненты."
Exterior/decor body items with partial context,19,0,19,487,kuzov-i-optika/kuzovnye-detali,0.4066,0.2546,0.5934,0,0,0,19,"Позиции похожи на кузовной декор или наружные детали, но часть названий не отделяет декор от кузовных деталей."
"Caps, covers and plugs without destination",18,2,16,403,dvigatel-i-transmissiya/detali-dvigatelya,0.2184,0.1266,0.7816,0,0,0,18,"Крышки и заглушки требуют контекст узла: радиатор, поддон, фара, бардачок, КПП и т.п."
Driveline/axle/differential parts with partial context,18,0,18,278,dvigatel-i-transmissiya/detali-transmissii,0.295,0.1259,0.705,0,0,0,18,"Трансмиссионный/мостовой контекст есть, но target расходится между КПП, трансмиссией, ступицами и подвеской."
Fans and thermal/ventilation parts without stable target,18,0,18,147,dvigatel-i-transmissiya/detali-dvigatelya,0.415,0.2313,0.585,0,0,0,18,"Вентиляторы и воздуховоды встречаются в охлаждении, отопителе, салоне и универсальных аксессуарах; без назначения target конфликтует."
