familyId,family,reason,shopCode,name,status,reviewReason,detectedFamily,neighborTarget,neighborShare,confidence,evidence
fans_thermal_ventilation_unmapped,Fans and thermal/ventilation parts without stable target,active_analogs_conflict_or_no_destination,А-00004,Вентилятор ALCO,MANUAL_REVIEW,no_candidate,ventilation,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00246,"Смайлики силикон, 4 шт",MANUAL_REVIEW,no_candidate,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00278,Собака маленькая,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
body_interior_unmapped,Body/interior fragments without stable target,active_analogs_conflict_or_no_destination,А-00369,Люк,DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00404,Собака (очень большая),MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00502,Брелок,DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00511,Перчатки,DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
novelty_souvenir_non_catalog,Novelty/souvenir non-catalog goods,no_allowed_target_current_taxonomy,А-00526,Обезьяна на присоске,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
electrical_or_consumer_devices_without_auto_context,Electrical/consumer devices without auto context,technical_insufficient_data,А-00543,"""КОТО"" Разветвитель двойной 201",MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
misc_universal_non_catalog_singletons,Miscellaneous universal non-catalog goods,no_allowed_target_current_taxonomy,А-00548,Тюнинг Нива-Тайга,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
lighting_signal_unmapped,Lighting/signal devices without stable target,active_analogs_conflict_or_no_destination,А-00573,Прожектор,DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
car_care_consumables_unmapped,Car-care consumables without stable target,active_analogs_conflict_or_no_destination,А-00616,"Аппликатор ""Доктор ВАКС""",MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
short_or_code_only_names,Short/code-only names,technical_insufficient_data,А-00703,Такси,DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
travel_storage_covers_unmapped,Travel/storage/covers without stable target,no_allowed_target_current_taxonomy,А-00711,Покрытие пола (линолеум),MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
novelty_souvenir_non_catalog,Novelty/souvenir non-catalog goods,no_allowed_target_current_taxonomy,А-00718,Мячик-дезодорант (1 шт),DO_NOT_PUBLISH,UNKNOWN_PRODUCT_TYPE,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE"
fragrance_airfresheners_unmapped,Fragrance/air-freshener goods without stable target,active_analogs_conflict_or_no_destination,А-00723,Автопарфюм 7 мл,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
body_interior_unmapped,Body/interior fragments without stable target,active_analogs_conflict_or_no_destination,А-00726,Бокс 2101-07 Люкс,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
short_or_code_only_names,Short/code-only names,technical_insufficient_data,А-00775,А-00775,DO_NOT_PUBLISH,CODE_ONLY,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:CODE_ONLY"
novelty_souvenir_non_catalog,Novelty/souvenir non-catalog goods,no_allowed_target_current_taxonomy,А-00894,Рысь (большая),MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
