shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,explanation,correct,correctCategory,reviewerComment
ЗЧМ-00505,Ремкомплект регулятора тормозов 2141,tormoznaya-sistema,ruchnoy-tormoz,0.84,BLOCKED_CONFLICT,parking_brake_cables|other|тормоз|tormoznaya-sistema|ruchnoy-tormoz,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-01211,Накладка на воздухозаборник 2110 (краш.),kuzov-i-optika,kuzovnye-detali,0.84,BLOCKED_CONFLICT,body_air_intakes|other|воздухозаборник|kuzov-i-optika|kuzovnye-detali,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-02154,"Накидка на сиденье с функцией подогрева AVS HC-175,180",aksessuary,chehly,0.84,BLOCKED_CONFLICT,seat_covers|seat_parts|накидка|aksessuary|chehly,seat_parts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00045,Пробка коробки ВАЗ и пробка поддона ВАЗ,dvigatel-i-transmissiya,detali-dvigatelya,0.792,BLOCKED_CONFLICT,oil_pan_plugs|caps_plugs|пробка-поддона|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00817,Ремни безопасности 2101-07 (2 шт),dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-01627,Ремни безопасности перед. 1118,dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00035,Ремни безопасности (неинерционные),dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00963,"Ремни безопасности пер. 2108-014, 2110",dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
КР-00413,Ремни безопасности 2110,dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00909,"Болт диодного моста 03,06,08,09,2121 в сборе",dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00910,"Болт диодного моста 04,05-07 в сборе",dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00911,Болт диодного моста 2110 в сборе,dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00912,Болт диодного моста 1118 Калина в сборе,dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
КГ-00531,Кронштейн колпаков Газель (Каминс),aksessuary,shiny-i-diski,0.742,BLOCKED_CONFLICT,wheel_caps|other|колпак|aksessuary|shiny-i-diski,other,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00698,Заглушка блок-фар Гранта 2190,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
А-01445,"""Такси"" диодн. (на стекло)",elektrika,osveshchenie,0.742,BLOCKED_CONFLICT,auxiliary_lighting|other|такси|elektrika|osveshchenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00499,Заглушка блок-фары Калина,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00500,Заглушка блок-фары 2110,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00699,Заглушка блок-фар Приора 2170 (мал.),dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00186,Диффузор салона 2105,dvigatel-i-transmissiya,ohlazhdenie,0.74,BLOCKED_CONFLICT,cooling|other|диффузор|dvigatel-i-transmissiya|ohlazhdenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ХС-00104,Крестовина руля,dvigatel-i-transmissiya,detali-transmissii,0.64,BLOCKED_CONFLICT,universal_joint_crosses|other|крестовина|dvigatel-i-transmissiya|detali-transmissii,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ОК-00061,Прижим приемной трубы,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00223,Подкладки под крючок 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01223,Трубка КАМАЗ-ЕВРО компрес. (медная) 1-ц,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
Г-00158,Флянец приемной трубы Бычок,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00044,Шланг воздушный прицепа в сборе,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
К-00679,Рем. набор крепления воздушного фланца (с,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00800,Палец М10-35 педали тормоза 3502.260088,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00046,Блок переключения печки в сборе Гранта,,,0,MANUAL_REVIEW,no_match|heater_parts|heater-parts,heater_parts,Категория и подкатегория не определены правилами.,,,
ОК-00015,Пыльник внутренний,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00085,Кнопки ручек дв. УАЗ-469 ЛЮКС (2 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00077,Стопор замка 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-00833,Главная пара дифференциала ГАЗ-31105 н/о,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-00704,Тяга продольная Валдай (короткая),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00008,Корпус печки 2101-2105,,,0,MANUAL_REVIEW,no_match|heater_parts|heater-parts,heater_parts,Категория и подкатегория не определены правилами.,,,
Г-00583,Фланец трубы приёмной КАМАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
А-00419,Реснички боковых стекол 2106,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00433,Шланг бензин. 2110,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ИН-01449,AMD.SEN25 Регулятор холостого хода MATIZ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
О-00696,ВАЗ 2111 стекло з.д.о прав.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00023,Пыльник торсиона ЗАЗ (за 1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00246,Вал промежуточный ВАЗ 21213 в сб. (GL.CE.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01048,Втулка передней подвески МАЗ-6430 н. обр,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
А-01132,Переходник USB (AVS ST-04),,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
А-01667,"Ответная часть ремня Газель, 1 шт",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00413,Вставка нейтрализ.21074 Евро-3,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00516,Патрубок выпускной КАМАЗ-ЕВРО №54115,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
Г-00632,Вставка нейтрализ. Евро-3 21074,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00741,Кронштейн прав. опоры двиг. (дв.ВАЗ 8 кл.) Лада Ларгус 845051870,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00530,Набор крышки бардачка 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
