familyId,family,reason,shopCode,name,status,reviewReason,detectedFamily,neighborTarget,neighborShare,confidence,evidence
fans_thermal_ventilation_unmapped,Fans and thermal/ventilation parts without stable target,active_analogs_conflict_or_no_destination,А-00004,Вентилятор ALCO,MANUAL_REVIEW,no_candidate,ventilation,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
consumer_power_phone_accessories,Consumer phone/power accessories,no_allowed_target_current_taxonomy,А-00176,"Адаптер ""Samsung"" USB (оригинал)",MANUAL_REVIEW,no_candidate,electrical_consumer,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00246,"Смайлики силикон, 4 шт",MANUAL_REVIEW,no_candidate,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00278,Собака маленькая,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
body_interior_unmapped,Body/interior fragments without stable target,active_analogs_conflict_or_no_destination,А-00369,Люк,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
body_or_interior_small_parts,Small body/interior parts with weak context,active_analogs_conflict_or_no_destination,А-00370,Скоба д.16,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00404,Собака (очень большая),MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00502,Брелок,MANUAL_REVIEW,no_candidate,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
personal_or_non_catalog_accessories,Personal/non-catalog accessories,no_allowed_target_current_taxonomy,А-00511,Перчатки,MANUAL_REVIEW,no_candidate,personal_accessories,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
novelty_souvenir_non_catalog,Novelty/souvenir non-catalog goods,no_allowed_target_current_taxonomy,А-00526,Обезьяна на присоске,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
electrical_or_consumer_devices_without_auto_context,Electrical/consumer devices without auto context,technical_insufficient_data,А-00543,"""КОТО"" Разветвитель двойной 201",MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
misc_universal_non_catalog_singletons,Miscellaneous universal non-catalog goods,no_allowed_target_current_taxonomy,А-00548,Тюнинг Нива-Тайга,MANUAL_REVIEW,no_candidate,other,,0,0,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target."
