shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,explanation,correct,correctCategory,reviewerComment
ЗЧМ-00376,Хомуты приемной трубы 2141,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.84,BLOCKED_CONFLICT,exhaust_hardware|clamps|приемной-трубы|dvigatel-i-transmissiya|vyhlopnaya-sistema,clamps,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00015,Гайка М 8 д. приёмной трубы ВАЗ 01-08,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fasteners|nuts|гайка|ves-assortiment|other-products,nuts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00035,Штуцер прокачки ВАЗ 01-08,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|fittings|штуцер|ves-assortiment|other-products,fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00322,"Болт верх. механизма натяж. ремня, топлив",ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fasteners|bolts|болт|ves-assortiment|other-products,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
КГ-00331,Соединитель шлангов переходной 8х10,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00467,Соединитель шлангов переходной 10х12,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00611,Соединитель шлангов 27х27,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00674,Соединитель шлангов д.12х12,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00675,Соединитель шлангов метал 14х14,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00676,Соединитель шлангов д.24х27,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-00792,Соединитель шлангов переходной 12х14,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01056,Соединитель шлангов 14х20,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01057,Соединитель шлангов 16х20,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01058,Соединитель шлангов 20х24,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01059,Соединитель шлангов 20х27,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01060,Соединитель шлангов 22х27,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01073,Соединитель шлангов переходной 14х16,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01074,Соединитель шлангов переходной 6х8,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01379,Соединитель шлангов 18х24,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|pneumatic_fittings|соединитель|ves-assortiment|other-products,pneumatic_fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00305,Гайка приемной трубы на 2110,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fasteners|nuts|гайка|ves-assortiment|other-products,nuts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00472,Болт кронштейна приемной трубы 2101-07,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fasteners|bolts|болт|ves-assortiment|other-products,bolts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КГ-01276,"Кронштейн приёмной трубы Г-3302 Б+ (дв.4216,405-ЕВРО-2)",ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_clamps_brackets|other|кронштейн|ves-assortiment|other-products,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КР-00575,Соединитель труб под хомут СВД TRS4545,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|fittings|соединитель|ves-assortiment|other-products,fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
КР-00576,Соединитель труб под хомут СВД TRS4550,ves-assortiment,other-products,0.84,BLOCKED_CONFLICT,other_products_fittings|fittings|соединитель|ves-assortiment|other-products,fittings,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
